price,area,bedrooms,bathrooms,stories,mainroad,guestroom,furnishingstatus
13300000,7420,4,2,3,yes,no,furnished
12250000,8960,4,4,4,yes,no,furnished
12250000,9960,3,2,2,yes,no,semi-furnished
12215000,7500,4,2,2,yes,no,furnished
11410000,7420,4,1,2,yes,yes,furnished
10850000,7500,3,3,1,yes,no,semi-furnished
10150000,8580,4,3,4,yes,no,semi-furnished
10150000,16200,5,3,2,yes,no,unfurnished
9870000,8100,4,1,2,yes,yes,furnished
9800000,5750,3,2,4,yes,yes,unfurnished
9800000,13200,3,1,2,yes,no,furnished
9681000,6000,4,3,2,yes,yes,semi-furnished
9310000,6550,4,2,2,yes,no,semi-furnished
9240000,3500,4,2,2,yes,no,furnished
9240000,7800,3,2,2,yes,no,semi-furnished
9100000,6000,4,1,2,yes,no,semi-furnished
9100000,6600,4,2,2,yes,yes,unfurnished
8960000,8500,3,2,4,yes,no,furnished
8890000,4600,3,2,2,yes,yes,furnished
8855000,6420,3,2,2,yes,no,semi-furnished
8750000,4320,3,1,2,yes,no,semi-furnished
8680000,7155,3,2,1,yes,yes,unfurnished
8645000,8050,3,1,1,yes,yes,furnished
8645000,4560,3,2,2,yes,yes,furnished
8575000,8800,3,2,2,yes,no,furnished
8540000,6540,4,2,2,yes,yes,furnished
8463000,6000,3,2,4,yes,yes,semi-furnished
8400000,8875,3,1,1,yes,no,semi-furnished
8400000,7950,5,2,2,yes,no,unfurnished
8400000,5500,4,2,2,yes,no,semi-furnished
8400000,7475,3,2,4,yes,no,unfurnished
8400000,7000,3,1,4,yes,no,semi-furnished
8295000,4880,4,2,2,yes,no,furnished
8190000,5960,3,3,2,yes,yes,unfurnished
8120000,6840,5,1,2,yes,yes,furnished
8080940,7000,3,2,4,yes,no,furnished
8043000,7482,3,2,3,yes,no,furnished
7980000,9000,4,2,4,yes,no,furnished
7962500,6000,3,1,4,yes,yes,unfurnished
7910000,6000,4,2,4,yes,no,semi-furnished
7875000,6550,3,1,2,yes,no,furnished
7840000,6360,3,2,4,yes,no,furnished
7700000,6480,3,2,4,yes,no,unfurnished
7700000,6000,4,2,4,yes,no,semi-furnished
7560000,6000,4,2,4,yes,no,furnished
7560000,6000,3,2,3,yes,no,semi-furnished
7525000,6000,3,2,4,yes,no,furnished
7490000,6600,3,1,4,yes,no,furnished
7455000,4300,3,2,2,yes,no,unfurnished
